ticker,REIT Index, MSCI INDEX,U2YINDEX,MSCI VIX INDEX,U10YR2YR,EWS
2019/6/3,858.67,1629.72,1.685,376.65,0.049,24.72
2019/6/4,865.42,1638.95,1.681,377.75,0.053,24.62
2019/6/6,882.5,1643.74,1.69,375.95,-0.042,24.61
2019/6/7,880.74,1656.15,1.714,374.95,-0.054,24.8
2019/6/10,886.19,1666.68,1.678,376.45,-0.032,24.7
2019/6/11,887.7,1682.28,1.613,379.2,0.075,24.68
2019/6/12,889.36,1685.57,1.642,378.15,0.049,24.75
2019/6/13,895.96,1693.47,1.689,383.55,0.005,24.77
2019/6/14,896.15,1696.52,1.676,382.05,0.12,24.66
2019/6/17,892.16,1693.67,1.681,382.15,0.095,24.59
2019/6/18,898.87,1710.23,1.682,381.85,0.119,24.61
2019/6/19,900.2,1739.16,1.679,380.85,0.128,24.51
2019/6/20,903.25,1755.26,1.684,376.25,0.116,24.17
2019/6/21,904.06,1762.29,1.698,375.75,0.102,23.88
2019/6/24,905.54,1755.1,1.69,377.45,0.031,23.75
2019/6/25,905.52,1750.83,1.652,380.5,0.051,23
2019/6/26,907.58,1750.05,1.663,379.7,0.021,23.22
2019/6/27,911.22,1766.13,1.683,379.4,0.019,23.36
2019/6/28,916.95,1767.58,1.669,380,0.084,23.33
2019/7/1,919.6,1795.09,1.684,381.85,0.068,23.15
2019/7/2,918.54,1790.41,1.722,379.95,0.017,22.9
2019/7/3,929.03,1789.55,1.696,383,0.037,23.41
2019/7/4,933.65,1789.83,1.663,380.7,0.025,22.67
2019/7/5,941.77,1784.8,1.682,382.8,-0.015,22.73
2019/7/8,934.01,1766.69,1.664,381.75,0.044,22.91
2019/7/9,921.26,1762.93,1.676,384.3,0.029,22.88
2019/7/10,922.3,1769.9,1.666,381.9,0.06,22.93
2019/7/11,925.03,1777.36,1.666,380.15,0.06,22.95
2019/7/12,920.83,1781.15,1.638,381.25,0.111,22.88
2019/7/15,916.03,1778.25,1.658,374.65,0.076,22.43
2019/7/16,922.66,1782.83,1.658,373.4,0.098,22.49
2019/7/17,922.06,1789.06,1.674,368.5,0.082,22.46
2019/7/18,921.23,1783.42,1.679,363.15,0.077,22.38
2019/7/19,920.76,1794.11,1.68,361.4,0.118,22.68
2019/7/22,914.59,1786.4,1.709,362.9,0.071,22.84
2019/7/23,917.77,1793.87,1.676,361.9,0.081,22.67
2019/7/24,915.43,1790.63,1.686,362.3,0.062,23.12
2019/7/25,915.72,1799.13,1.682,359.2,0.051,23.26
2019/7/26,916.26,1786.68,1.664,359.15,0.069,23.34
2019/7/29,913.74,1779.52,1.63,357.95,0.09,23.34
2019/7/30,914.03,1783.27,1.625,355.75,0.095,23.52
2019/7/31,909.64,1762.27,1.631,355.8,0.071,23.69
2019/8/1,902.53,1753.68,1.651,357.4,0.091,23.77
2019/8/2,908.34,1738.49,1.682,358.75,0.057,23.95
2019/8/5,900.99,1708.53,1.678,357.55,0.061,23.76
2019/8/6,891.44,1698.02,1.669,357.4,0.07,23.74
2019/8/7,887.75,1704.98,1.654,355.6,0.096,23.53
2019/8/8,895.19,1701.13,1.64,351.2,0.091,23.42
2019/8/13,897.66,1691.61,1.646,350.95,0.04,23.35
2019/8/14,896.08,1691.09,1.647,349.5,-0.016,23.33
2019/8/15,900.11,1670.66,1.647,353.1,-0.016,23.33
2019/8/16,899.23,1665.25,1.653,356.5,-0.017,23.18
2019/8/19,903.94,1673.39,1.648,353.85,0.018,23.19
2019/8/20,906.94,1675.97,1.648,354.95,0.014,23.04
2019/8/21,907.2,1666.94,1.65,358.3,0.006,23.2
2019/8/22,907.2,1670.15,1.656,359.95,0.031,23.19
2019/8/23,905.83,1661.2,1.641,361.75,0.046,22.8
2019/8/26,903.76,1639.84,1.647,362.25,0.036,22.99
2019/8/27,899.92,1640.97,1.667,363.1,0.031,22.99
2019/8/28,908.79,1633.94,1.669,366.6,0.024,22.98
2019/8/29,912,1649.79,1.665,366.85,0.037,22.92
2019/8/30,917.51,1661.64,1.686,368.9,0.036,23
2019/9/2,920.3,1654.92,1.676,367.4,0.054,23.21
2019/9/3,920.22,1657,1.697,365.4,0.027,23.43
2019/9/4,930.16,1672.15,1.673,363.05,0.081,23.42
2019/9/5,933.59,1680.24,1.653,362.4,0.079,23.52
2019/9/6,924.74,1688.04,1.664,363.2,0.031,23.58
2019/9/9,925.31,1689.73,1.654,360.05,0.051,23.62
2019/9/10,919.1,1692.27,1.634,362.8,0.067,23.4
2019/9/11,917.39,1712.22,1.625,357.6,0.146,23.75
2019/9/12,915.88,1712.98,1.605,359.5,0.175,23.82
2019/9/13,920,1721.13,1.585,358.4,0.19,23.73
2019/9/16,917.63,1716.54,1.585,359.25,0.148,23.87
2019/9/17,915.7,1706.13,1.57,362.15,0.16,24.1
2019/9/18,921.98,1696.5,1.55,354.9,0.193,24.24
2019/9/19,928,1691.45,1.566,354.1,0.184,24.12
2019/9/20,930.19,1693.59,1.567,352.85,0.204,24.28
2019/9/23,925.25,1680.06,1.577,356.45,0.188,24.31
2019/9/24,929.53,1690.42,1.567,357.2,0.233,24.56
2019/9/25,932.69,1674.49,1.583,356.75,0.215,24.64
2019/9/26,930.6,1679.33,1.594,356.4,0.204,24.75
2019/9/27,925.11,1676.24,1.59,359.85,0.234,24.71
2019/9/30,925.18,1675.71,1.592,360.05,0.232,24.9
2019/10/1,924.74,1691.57,1.602,359,0.193,24.74
2019/10/2,920.4,1665.05,1.581,361.85,0.183,24.62
2019/10/3,920.58,1658.95,1.571,360.95,0.203,24.6
2019/10/4,920.83,1651.4,1.571,358.5,0.2,24.55
2019/10/7,921.56,1665.5,1.573,362.7,0.206,24.56
2019/10/8,929.69,1671.58,1.574,363.4,0.188,24.65
2019/10/9,931.58,1661.33,1.611,361.25,0.104,24.74
2019/10/10,929.62,1665.07,1.633,364.7,0.091,24.61
2019/10/11,936.16,1680.98,1.587,366.75,0.157,24.51
2019/10/14,936.64,1684.3,1.566,369.05,0.175,24.31
2019/10/15,930.61,1679.64,1.534,367.35,0.215,24.5
2019/10/16,935.62,1688.49,1.534,369.5,0.211,24.47
2019/10/17,935.11,1686.17,1.518,370.6,0.234,24.39
2019/10/18,933.42,1675.14,1.509,372.3,0.24,24.36
2019/10/21,935.18,1684.96,1.525,373.75,0.213,24.08
2019/10/22,931.53,1698.85,1.52,374.75,0.216,23.96
2019/10/23,931.82,1690.91,1.493,375.35,0.277,23.77
2019/10/24,935.12,1705.46,1.467,377.9,0.303,23.95
2019/10/25,933.17,1714.93,1.484,376,0.256,24.07
2019/10/29,927.17,1716.91,1.484,373.55,0.274,24.31
